sentiment,sentence,label,word_count,char_count,avg_word_length,digit_count
neutral,according to gran  the company has no plans to move all production to russia  although that is where the company is growing,0,22,123,5.590909090909091,0
neutral,technopolis plans to develop in stages an area of no less than 100000 square meters in order to host companies working in computer technologies and telecommunications  the statement said,0,29,186,6.413793103448276,6
negative,the international electronic industry company elcoteq has laid off tens of employees from its tallinn facility  contrary to earlier layoffs the company contracted the ranks of its office workers  the daily postimees reported,-1,33,224,6.787878787878788,0
positive,with the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability,1,32,204,6.375,0
positive,according to the company s updated strategy for the years 20092012  basware targets a longterm net sales growth in the range of 20  40  with an operating profit margin of 10  20  of net sales,1,35,191,5.457142857142857,16
positive,financing of aspocomp s growth aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding hdi printed circuit boards pcbs,1,24,175,7.291666666666667,0
positive,for the last quarter of 2010  componenta s net sales doubled to eur131m from eur76m for the same period a year earlier  while it moved to a zero pretax profit from a pretax loss of eur7m,1,36,186,5.166666666666667,10
positive,in the third quarter of 2010  net sales increased by 52  to eur 2055 mn  and operating profit by 349  to eur 235 mn,1,24,115,4.791666666666667,16
positive,operating profit rose to eur 131 mn from eur 87 mn in the corresponding period in 2007 representing 77  of net sales,1,22,116,5.2727272727272725,11
positive,operating profit totalled eur 211 mn  up from eur 186 mn in 2007  representing 97  of net sales,1,18,95,5.277777777777778,12
positive,teliasonera tlsn said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen eesti telekom s offering to its customers,1,29,175,6.0344827586206895,0
positive,stora enso  norske skog  mreal  upmkymmene credit suisse first boston  cfsb  raised the fair value for shares in four of the largest nordic forestry groups,1,25,155,6.2,0
positive,a purchase agreement for 7200 tons of gasoline with delivery at the hamina terminal  finland  was signed with neste oil oyj at the average platts index for this september plus eight us dollars per month,1,35,202,5.771428571428571,4
positive,finnish talentum reports its operating profit increased to eur 205 mn in 2005 from eur 93 mn in 2004  and net sales totaled eur 1033 mn  up from eur 964 mn,1,31,155,5.0,20
positive,clothing retail chain seppl s sales increased by 8  to eur 1552 mn  and operating profit rose to eur 311 mn from eur 171 mn in 2004,1,27,131,4.851851851851852,15
positive,consolidated net sales increased 16  to reach eur74 8 m  while operating profit amounted to eur0 9 m compared to a loss of eur0 7 m in the prior year period,1,31,156,5.032258064516129,9
positive,foundries division reports its sales increased by 97  to eur 631 mn from eur 575 mn in the corresponding period in 2006  and sales of the machine shop division increased by 164  to eur 412 mn from eur 354 mn in the corresponding period in 2006,1,46,243,5.282608695652174,25
positive,helsinki  afx   shares closed higher  led by nokia after it announced plans to team up with sanyo to manufacture 3g handsets  and by nokian tyres after its fourthquarter earnings report beat analysts  expectations  dealers said,1,35,227,6.485714285714286,1
positive,incap contract manufacturing services pvt ltd  a subsidiary of incap corporation of finland  plans to double its revenues by 20072008,1,20,133,6.65,8
positive,its board of directors will propose a dividend of eur0 12 per share for 2010  up from the eur0 08 per share paid in 2009,1,25,120,4.8,14
positive,lifetree was founded in 2000  and its revenues have risen on an average by 40  with margins in late 30s,1,20,103,5.15,8
positive,filippova  a trilateral agreement on investment in the construction of a technology park in st petersburg was to have been signed in the course of the forum  days of the russian economy  that opened in helsinki today,1,37,216,5.837837837837838,0
positive,megafon s subscriber base increased 161  in 2009 to 505 million users as of december 31  while its market share by the number of customers amounted to 24  as of late 2009  up from 23  as of late 2008  according to teliasonera estimates,1,43,235,5.465116279069767,24
positive,net income from life insurance doubled to eur 68 mn from eur 32 mn  and net income from nonlife insurance rose to eur 52 mn from eur 15 mn in the corresponding period in 2009,1,35,174,4.9714285714285715,12
positive,net sales increased to eur193 3 m from eur179 9 m and pretax profit rose by 342  to eur43 1 m  eur1  usd1 4,1,24,107,4.458333333333333,17
positive,net sales surged by 185  to eur167 8 m teleste said that eur20 4 m  or 122   of the sales came from the acquisitions made in 2009,1,27,129,4.777777777777778,17
positive,nordea group s operating profit increased in 2010 by 18 percent yearonyear to 364 billion euros and total revenue by 3 percent to 933 billion euros,1,26,147,5.653846153846154,13
positive,operating profit for the ninemonth period increased from eur13 6 m  while net sales increased from eur394 7 m  as compared to the corresponding period in 2005,1,27,158,5.851851851851852,11
positive,operating profit for the ninemonth period increased from eur3 1 m and net sales increased from eur61 5 m  as compared to the corresponding period in 2007,1,27,153,5.666666666666667,9
positive,operating profit for the threemonth period increased from eur1 2 m  while revenue increased from eur20 2 m  as compared to the corresponding period in 2005,1,26,155,5.961538461538462,9
positive,the brazilian unit of finnish security solutions provider fsecure signed up 1500 new clients last year  online news source reseller web quoted the division s commercial director  vladimir brando  as saying,1,31,205,6.612903225806452,4
positive,the company s net profit rose 114  on the year to 822 million euros in 2005 on sales of 6865 million euros  138  up on the year  the company said earlier,1,31,153,4.935483870967742,17
positive,the lithuanian beer market made up 1441 million liters in january  a rise of 08 percent from the yearearlier figure  the lithuanian brewers  association reporting citing the results from its members,1,31,198,6.387096774193548,6
positive,viking line s cargo revenue increased by 54  to eur 2146 mn  and cargo volume increased by 24  to 70116 cargo units,1,22,115,5.2272727272727275,13
